speaker,start,end,duration
SPEAKER_00,2.596,3.507,0.911
SPEAKER_01,2.748,3.49,0.742
SPEAKER_00,4.182,6.629,2.447
SPEAKER_01,4.233,4.672,0.439
SPEAKER_00,7.726,9.548,1.823
SPEAKER_00,10.038,10.375,0.338
SPEAKER_00,11.152,13.683,2.531
