speaker,start,end,duration
SPEAKER_00,1.465,6.933,5.467
SPEAKER_00,9.329,11.202,1.873
SPEAKER_00,11.692,12.603,0.911
SPEAKER_00,13.598,16.248,2.649
SPEAKER_00,17.277,19.37,2.093
SPEAKER_00,19.977,20.264,0.287
