speaker,start,end,duration
SPEAKER_00,1.432,1.786,0.354
SPEAKER_00,2.292,2.697,0.405
SPEAKER_00,5.077,5.583,0.506
SPEAKER_00,7.523,8.57,1.046
SPEAKER_00,9.008,9.464,0.456
SPEAKER_00,9.599,11.135,1.536
SPEAKER_00,11.742,12.704,0.962
