speaker,start,end,duration
SPEAKER_00,1.398,1.972,0.574
SPEAKER_00,5.245,17.243,11.998
SPEAKER_01,10.51,11.624,1.114
SPEAKER_01,12.721,13.447,0.726
SPEAKER_01,15.742,15.775,0.034
SPEAKER_01,17.041,18.695,1.654
SPEAKER_00,19.285,20.163,0.878
SPEAKER_00,20.264,21.479,1.215
SPEAKER_01,22.103,23.335,1.232
SPEAKER_00,24.061,24.719,0.658
SPEAKER_00,25.445,30.676,5.231
SPEAKER_01,28.921,30.743,1.823
SPEAKER_00,30.743,32.178,1.434
SPEAKER_01,32.009,32.768,0.759
SPEAKER_00,34.912,35.789,0.877
SPEAKER_01,35.789,36.008,0.219
SPEAKER_00,36.008,37.072,1.063
SPEAKER_00,38.27,41.273,3.004
SPEAKER_00,42.91,44.193,1.282
SPEAKER_01,43.653,44.26,0.608
SPEAKER_00,44.277,44.767,0.489
