speaker,start,end,duration
SPEAKER_00,0.031,0.048,0.017
SPEAKER_00,0.065,0.082,0.017
SPEAKER_00,1.077,2.191,1.114
SPEAKER_00,5.566,9.481,3.915
SPEAKER_00,10.004,11.27,1.266
SPEAKER_00,11.59,12.063,0.473
SPEAKER_00,12.232,12.974,0.742
SPEAKER_00,13.666,14.813,1.148
SPEAKER_01,14.223,14.307,0.084
