speaker,start,end,duration
SPEAKER_00,1.465,2.039,0.574
SPEAKER_00,3.254,3.862,0.608
SPEAKER_00,4.03,5.026,0.996
SPEAKER_00,6.41,9.43,3.021
SPEAKER_00,10.139,15.64,5.501
SPEAKER_01,10.966,11.219,0.253
SPEAKER_00,15.978,17.581,1.603
SPEAKER_01,17.125,17.547,0.422
