speaker,start,end,duration
SPEAKER_00,0.031,0.183,0.152
SPEAKER_00,1.415,2.191,0.776
SPEAKER_00,4.756,5.735,0.979
SPEAKER_00,6.325,11.0,4.674
SPEAKER_00,11.928,12.485,0.557
SPEAKER_00,12.974,13.97,0.996
SPEAKER_00,14.847,15.32,0.473
SPEAKER_00,18.56,19.285,0.726
SPEAKER_00,19.606,20.365,0.759
SPEAKER_00,21.091,21.85,0.759
SPEAKER_00,23.065,28.87,5.805
SPEAKER_00,29.596,32.026,2.43
SPEAKER_00,32.498,32.971,0.473
SPEAKER_00,33.072,33.427,0.354
