speaker,start,end,duration
SPEAKER_00,0.031,0.436,0.405
SPEAKER_00,0.908,1.364,0.456
SPEAKER_00,3.322,3.625,0.304
SPEAKER_00,5.262,7.574,2.312
SPEAKER_00,8.013,9.278,1.266
SPEAKER_00,9.667,10.19,0.523
SPEAKER_00,10.612,12.957,2.346
SPEAKER_01,11.523,12.029,0.506
SPEAKER_00,14.24,14.813,0.574
SPEAKER_00,15.809,17.75,1.941
SPEAKER_00,19.724,20.905,1.181
SPEAKER_00,21.26,21.563,0.304
