speaker,start,end,duration
SPEAKER_00,0.031,4.047,4.016
SPEAKER_01,2.343,2.613,0.27
SPEAKER_01,3.524,3.541,0.017
SPEAKER_00,5.971,10.696,4.725
SPEAKER_00,11.708,17.429,5.721
SPEAKER_01,16.653,17.378,0.726
SPEAKER_01,17.851,18.695,0.844
SPEAKER_00,17.851,24.145,6.294
SPEAKER_01,22.373,22.39,0.017
SPEAKER_01,22.492,23.369,0.878
SPEAKER_00,26.187,27.115,0.928
SPEAKER_00,27.622,28.043,0.422
