speaker,start,end,duration
SPEAKER_00,1.195,1.735,0.54
SPEAKER_00,2.917,8.452,5.535
SPEAKER_00,8.755,9.329,0.574
SPEAKER_00,10.493,15.185,4.691
SPEAKER_01,10.679,11.067,0.388
SPEAKER_01,12.316,12.822,0.506
SPEAKER_01,13.835,13.936,0.101
SPEAKER_01,14.02,14.611,0.591
SPEAKER_00,15.235,18.61,3.375
SPEAKER_00,18.965,21.817,2.852
SPEAKER_00,22.137,23.082,0.945
SPEAKER_00,23.116,24.753,1.637
SPEAKER_00,25.225,29.9,4.674
SPEAKER_00,30.237,30.575,0.338
SPEAKER_00,31.587,35.722,4.134
SPEAKER_01,34.962,35.198,0.236
