speaker,start,end,duration
SPEAKER_00,1.195,1.735,0.54
SPEAKER_00,6.055,7.321,1.266
SPEAKER_00,8.03,8.89,0.861
SPEAKER_00,9.65,9.987,0.337
SPEAKER_00,10.713,11.236,0.523
SPEAKER_00,11.675,14.948,3.274
SPEAKER_00,15.657,18.998,3.341
SPEAKER_01,17.564,18.239,0.675
