speaker,start,end,duration
SPEAKER_00,1.516,2.613,1.097
SPEAKER_00,4.469,5.988,1.519
SPEAKER_00,6.41,7.574,1.164
SPEAKER_00,7.912,8.857,0.945
SPEAKER_00,9.228,11.877,2.649
SPEAKER_01,9.447,10.156,0.709
SPEAKER_01,10.814,11.438,0.624
