speaker,start,end,duration
SPEAKER_00,0.672,3.828,3.156
SPEAKER_00,4.334,5.448,1.114
SPEAKER_00,6.95,9.177,2.228
SPEAKER_01,7.22,7.81,0.591
SPEAKER_00,9.211,12.215,3.004
SPEAKER_00,12.535,13.058,0.523
