speaker,start,end,duration
SPEAKER_00,1.162,1.55,0.388
SPEAKER_00,4.503,5.802,1.299
SPEAKER_00,6.798,7.152,0.354
SPEAKER_00,8.722,9.16,0.439
SPEAKER_00,9.278,11.607,2.329
SPEAKER_00,11.894,12.4,0.506
SPEAKER_00,12.923,14.189,1.266
