speaker,start,end,duration
SPEAKER_00,0.031,1.077,1.046
SPEAKER_00,2.933,4.132,1.198
SPEAKER_00,5.178,7.0,1.822
SPEAKER_00,8.097,10.223,2.126
SPEAKER_00,10.477,12.198,1.721
SPEAKER_00,12.569,12.974,0.405
SPEAKER_00,13.683,14.257,0.574
SPEAKER_00,14.594,18.323,3.729
SPEAKER_01,16.99,17.463,0.473
SPEAKER_00,18.779,21.361,2.582
SPEAKER_00,21.732,22.019,0.287
SPEAKER_00,23.875,25.073,1.198
SPEAKER_00,25.259,27.031,1.772
SPEAKER_00,28.33,28.837,0.506
SPEAKER_00,32.937,35.097,2.16
SPEAKER_01,33.359,33.781,0.422
SPEAKER_00,35.587,36.143,0.557
SPEAKER_00,36.177,36.616,0.439
