speaker,start,end,duration
SPEAKER_00,1.111,2.731,1.62
SPEAKER_00,3.997,4.537,0.54
SPEAKER_00,6.055,6.292,0.236
SPEAKER_00,7.507,8.131,0.624
SPEAKER_00,8.789,12.029,3.24
SPEAKER_00,13.43,17.075,3.645
SPEAKER_00,17.665,18.948,1.282
SPEAKER_01,17.783,18.172,0.388
SPEAKER_00,19.623,20.365,0.742
SPEAKER_00,21.614,23.302,1.688
SPEAKER_00,23.858,25.613,1.755
SPEAKER_00,25.765,28.398,2.633
SPEAKER_00,29.613,30.743,1.131
SPEAKER_00,30.878,31.705,0.827
SPEAKER_00,32.92,33.68,0.759
SPEAKER_00,34.979,38.185,3.206
SPEAKER_01,35.755,36.312,0.557
SPEAKER_00,40.514,41.071,0.557
SPEAKER_00,42.05,43.045,0.996
SPEAKER_00,44.362,48.142,3.78
SPEAKER_01,47.737,48.108,0.371
SPEAKER_00,49.508,49.964,0.456
SPEAKER_00,50.842,56.343,5.501
SPEAKER_00,56.63,59.482,2.852
SPEAKER_00,59.768,61.152,1.384
SPEAKER_00,62.047,65.827,3.78
SPEAKER_01,62.08,62.401,0.321
