speaker,start,end,duration
SPEAKER_00,0.031,3.052,3.021
SPEAKER_00,5.482,13.025,7.543
SPEAKER_01,10.46,11.472,1.012
SPEAKER_00,13.649,14.965,1.316
SPEAKER_00,15.218,16.602,1.384
SPEAKER_01,15.269,15.725,0.456
SPEAKER_00,16.99,19.336,2.346
SPEAKER_01,17.024,18.83,1.806
SPEAKER_00,19.707,20.534,0.827
SPEAKER_01,19.91,20.298,0.388
SPEAKER_00,21.091,24.28,3.189
SPEAKER_00,25.208,31.3,6.092
SPEAKER_00,31.418,34.405,2.987
SPEAKER_00,35.047,36.329,1.282
SPEAKER_00,36.447,39.012,2.565
SPEAKER_00,39.383,42.539,3.156
SPEAKER_01,41.662,42.05,0.388
SPEAKER_00,42.877,43.602,0.726
SPEAKER_01,42.893,43.518,0.624
SPEAKER_00,43.973,44.598,0.624
SPEAKER_00,45.357,46.117,0.759
SPEAKER_00,47.517,50.791,3.274
SPEAKER_00,52.664,57.693,5.029
SPEAKER_01,53.474,53.862,0.388
SPEAKER_01,56.14,57.136,0.996
SPEAKER_00,57.963,58.604,0.641
SPEAKER_00,60.089,62.468,2.379
SPEAKER_00,64.072,64.747,0.675
SPEAKER_00,65.236,66.383,1.148
