end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:01.200000,0 days 00:00:01.166666667,196.5083,0.83348936,0.010844742,0.0070845746,0.11537822,9.976876,0.7738822,0.9437971,0.0106012495,0.05011338,0.13351327,0.25757512,0.39193618,0.5326977,0.61867267,0.71914333,0.8003437,0.8578925,0.9358613,0.99109274,1.0520135,1.101813,1.138811,1.2233905,1.278673,1.331766,1.3442193,1.3623222,1.3803908,1.3699294,1.3075422,1.1920525,1.0255022,0.8826917,0.72453475,0.58434415,0.0017300136,0.03707279,911.58136,1112.5599,1256.1161,1449.9169,0.25709334,1119.7069,4.2042856,97239.12,2.5436716,49.94165,-0.015600606,0.99593836,0.024818227,28.105356,-41.283665,-18.910536,-33.831745,26.736868,-2.5035398,-21.109016,-20.24009,-4.220431,-12.177272,-29.970839,3.5813882,-9.035853,0.12952487,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.233333333,0 days 00:00:01.200000,179.92444,0.8189276,0.014318052,0.011385339,0.17611347,8.377347,0.7247071,1.0086212,0.009651452,0.047392294,0.13475353,0.27972332,0.4338735,0.5614155,0.69640106,0.7680586,0.85317093,0.9458439,1.0155251,1.0789317,1.1396643,1.1948258,1.2623731,1.2823901,1.3499011,1.4107186,1.4472079,1.4817084,1.4761524,1.4640766,1.3790754,1.2539439,1.0857302,0.9017136,0.73024124,0.5967322,0.0012684389,0.030196046,940.29266,1083.8486,1248.9382,1442.7391,0.2629612,1099.1804,4.184809,91585.31,3.1115005,61.582287,-0.013805441,0.98461884,0.021329246,27.880148,-38.04959,-17.631533,-30.323706,31.317434,1.3121183,-14.403152,-19.47441,-4.3033066,-8.194579,-26.870516,9.29147,-3.9952567,3.7280066,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.266666667,0 days 00:00:01.233333333,171.6612,0.77399904,0.014945021,0.012977753,0.21252596,-27.950586,0.5623037,0.9794865,0.006699583,0.04739229,0.12724084,0.2785742,0.43773583,0.5489741,0.68926126,0.7494506,0.82467383,0.9111242,0.95612216,1.0519031,1.1039976,1.1470183,1.2413558,1.2513176,1.3032354,1.3568243,1.3900741,1.423824,1.440555,1.4259974,1.3343261,1.1994385,1.0577165,0.89985174,0.72483903,0.59121984,0.00075202616,0.02061938,897.22577,1126.9155,1363.7832,1485.8058,0.21945257,1106.8038,4.7260113,145218.95,2.6386936,59.641254,-0.008365109,0.9780596,0.013113136,28.287918,-30.8926,-15.458882,-20.699316,35.318233,0.64708185,-16.311676,-19.043596,-1.6968555,-7.02253,-25.937965,6.4907956,-1.5256935,2.623708,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.300000,0 days 00:00:01.266666667,0.0,0.7516364,0.0,0.0,0.0,-63.980907,0.34284934,0.9634209,0.003261583,0.04580499,0.12318534,0.2672954,0.41945985,0.52929765,0.66341156,0.7484291,0.82678795,0.89533454,0.9590018,1.0284814,1.0754162,1.123823,1.1973757,1.2428604,1.2822347,1.3185252,1.372347,1.409441,1.4342761,1.3988639,1.3162318,1.1783928,1.0441178,0.8843228,0.7223823,0.58764637,0.00036039986,0.0059791054,911.58136,1047.9596,1248.9382,1457.0946,0.13576734,1045.019,4.953491,196195.62,5.7414603,156.77243,-0.003103812,0.93550795,0.0047183083,27.44581,-21.973343,-15.893521,-12.337601,37.537136,6.188654,-14.948272,-16.882212,-2.7933056,-10.365333,-17.836845,8.793506,-0.26505753,-0.6977858,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.333333333,0 days 00:00:01.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.16159628,0.9828705,0.00095367496,0.046031743,0.1233379,0.26428285,0.4085773,0.5450615,0.6582062,0.7648244,0.8637199,0.92032355,0.9928883,1.0405163,1.0853686,1.1357462,1.1928732,1.2656174,1.3445789,1.3742453,1.4040788,1.4417108,1.4659781,1.4273175,1.3573298,1.2270592,1.051928,0.8790162,0.7303376,0.58970857,5.5402896e-05,0.00056440977,696.24713,1026.4263,1177.1602,1392.4945,0.069033265,974.7669,5.3097825,415882.97,8.603152,208.81104,-0.00020765357,0.8721997,0.00019841593,25.833166,-14.221808,-15.964524,-6.4106064,34.167076,7.5986686,-13.727288,-12.230962,-7.9176903,-11.064964,-12.644128,1.8955736,-2.8607838,-3.727319,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.366666667,0 days 00:00:01.333333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.08893744,1.0195524,0.0003822845,0.048299316,0.13001601,0.2721646,0.42059776,0.5774861,0.68484575,0.7880778,0.8820068,0.9674571,1.015089,1.0564365,1.1397415,1.2164977,1.2237551,1.3100431,1.389835,1.4317374,1.4827615,1.5168213,1.5096806,1.4742426,1.4077896,1.2838508,1.0855457,0.8989558,0.7460249,0.5969,5.480723e-06,6.727202e-05,495.2686,925.937,1069.4932,1342.2496,0.01681515,900.17755,5.3288236,910362.25,10.8562975,221.94543,-2.8219567e-05,0.80849385,2.8644134e-05,23.726397,-8.366643,-14.729232,-4.670734,30.522192,13.62272,-9.638322,-9.824158,-10.823495,-11.519282,-7.6329665,1.9880171,-0.10849937,0.65620047,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.400000,0 days 00:00:01.366666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.060197685,1.0327345,0.0002160364,0.058276642,0.1341299,0.27899072,0.43684778,0.5930671,0.70209557,0.81041366,0.8736386,0.9677463,1.0306671,1.0740575,1.1611751,1.2378386,1.2607828,1.3326135,1.3868636,1.4514836,1.5094973,1.5310684,1.5113039,1.4787794,1.4112806,1.2944552,1.1171976,0.9142167,0.74913067,0.6017565,3.1607913e-06,9.558926e-06,251.2232,689.0694,1026.4263,1335.0719,0.0059566963,824.836,5.494785,1873651.4,9.530293,133.61705,-6.3552384e-06,0.72709066,7.38215e-06,23.053093,-3.735341,-11.362849,-2.5078294,22.930113,10.79137,-8.458656,-13.060353,-13.601682,-9.534821,-7.0363674,-1.6402298,0.59353817,3.9273977,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.433333333,0 days 00:00:01.400000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04789111,1.0169815,0.00015079853,0.07573696,0.13239864,0.27890038,0.43206707,0.5718715,0.6881208,0.7978044,0.86778575,0.93064594,1.0075121,1.0806248,1.140447,1.2051117,1.2751687,1.311728,1.350944,1.423943,1.4741272,1.4869833,1.4914764,1.4654965,1.3839664,1.2634524,1.1038531,0.9203501,0.7513933,0.60534376,2.3166638e-06,2.7935337e-06,165.08954,459.3796,969.00385,1284.8273,0.0026583325,778.5342,5.415526,2874012.0,7.946869,80.34058,-3.0205774e-06,0.6657487,2.6659964e-06,21.201273,-0.09375397,-9.147061,-0.21313481,16.903242,13.297606,-6.521574,-15.712856,-11.262992,-8.1198015,-3.252906,-0.55294156,3.9530451,5.6849074,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.466666667,0 days 00:00:01.433333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.041752636,1.0002558,0.00013174363,0.08276644,0.1311651,0.27932522,0.41635576,0.5490856,0.6774853,0.77440065,0.86948895,0.90624887,1.0019727,1.0716304,1.1074113,1.165886,1.2586948,1.2889532,1.3336443,1.3904442,1.4277667,1.4629602,1.4756112,1.4631138,1.3788868,1.2462498,1.0902728,0.8995159,0.7378673,0.6022145,1.976201e-06,1.4028287e-06,114.8449,258.40103,789.55865,1191.5159,0.0017993866,757.64453,5.2824187,4030167.8,6.8627105,56.754833,-2.036729e-06,0.6248943,1.7151647e-06,20.121881,2.4971702,-5.1039367,1.1267747,11.098512,9.643186,-4.0454984,-15.052575,-10.880979,-2.6900394,-0.32945588,-0.12670748,1.7725272,2.9555895,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:01.500000,0 days 00:00:01.466666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.039586823,0.9901522,0.0001258957,0.08548752,0.13003476,0.27812076,0.41916767,0.5550957,0.6789834,0.7645097,0.8686764,0.92246175,0.9723864,1.0460166,1.1054814,1.1494118,1.2491739,1.2659651,1.3184763,1.3772179,1.4054798,1.4449687,1.4579252,1.4427103,1.3684253,1.237182,1.0689055,0.89501005,0.72674054,0.59542865,1.9320535e-06,8.8530305e-07,57.42245,200.97858,588.5801,1019.24854,0.0015883151,697.0625,5.1151757,4388842.5,6.5941434,51.36144,-1.9823103e-06,0.5636197,1.5227474e-06,19.459887,5.4393697,-1.8983105,1.3154846,6.102568,8.395944,-1.9715542,-12.3992815,-5.505178,0.16642809,0.20001459,1.242279,3.7952058,2.6210778,116_216_52_1_20250116_104050_christmas_board.wav
