end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:04.700000,0 days 00:00:04.666666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03052427,0.9929295,0.000108824344,0.07800453,0.12871332,0.27260777,0.41952106,0.5602574,0.6832537,0.7719269,0.8471534,0.92420155,0.98092204,1.0480872,1.099314,1.1498626,1.2290176,1.271551,1.3258282,1.4033338,1.4381622,1.455924,1.4579343,1.4264663,1.3770376,1.2422638,1.0768106,0.8913036,0.7373755,0.5973391,1.3914396e-06,2.8423133e-07,28.711226,114.8449,337.3569,803.91425,0.0010548867,585.4261,4.5842996,4691929.5,6.910763,54.53586,-1.4142464e-06,0.4624797,7.6969076e-07,20.416405,10.455703,-0.36289242,5.1738644,3.6698275,0.4456986,-4.3820515,-7.361894,-5.893081,7.140589,8.98782,-2.0293815,-3.2203789,2.4332068,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.733333333,0 days 00:00:04.700000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03135846,0.9938485,0.00010937693,0.077097505,0.12873377,0.2750679,0.41908517,0.5663461,0.6887164,0.7767727,0.84686613,0.9285836,0.98419625,1.0599594,1.1072421,1.1502734,1.2090101,1.2894992,1.3365384,1.3836342,1.4297587,1.4415249,1.4612621,1.4224612,1.3651336,1.2619017,1.0786867,0.89967513,0.7351647,0.59396744,1.5707878e-06,3.4567222e-07,35.889034,143.55614,351.71252,882.8701,0.0010328987,615.4463,4.744037,4792638.0,6.8109035,53.14641,-1.3835343e-06,0.48884055,1.0580453e-06,20.024794,11.070281,0.08780686,3.580907,3.7166703,0.47584978,-3.2248175,-11.898846,-6.675499,11.776244,10.76622,-0.93212175,-4.700452,-0.6148961,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.766666667,0 days 00:00:04.733333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.031177172,0.9873836,0.0001062468,0.075056694,0.12856074,0.2721238,0.4173998,0.5461156,0.65778154,0.7516429,0.8453141,0.9168915,0.98526055,1.0452133,1.1096495,1.163669,1.2268231,1.2849865,1.3535172,1.3758291,1.402688,1.4454266,1.464537,1.4399816,1.3262745,1.2317543,1.0694064,0.89334506,0.72844905,0.5893337,1.3772147e-06,3.86396e-07,28.711226,157.91174,337.3569,1055.1376,0.0011150585,666.2351,4.694008,5323128.5,6.487615,48.42998,-1.2249608e-06,0.5202221,9.678226e-07,19.050667,8.413377,1.069739,6.6148434,3.0705078,-0.31479883,-2.3301325,-12.100965,-11.532028,6.3979125,11.452159,-2.4733684,-9.141191,-0.075660385,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.800000,0 days 00:00:04.766666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03179328,0.9864268,0.00010650783,0.06870749,0.12759358,0.2725025,0.4174997,0.55357987,0.66686565,0.7658656,0.8589365,0.911108,0.9816249,1.0303272,1.0999783,1.1684275,1.2280482,1.2785412,1.3351183,1.3606639,1.4052238,1.4505385,1.4570755,1.4352158,1.3534979,1.2175617,1.0588917,0.89310527,0.7279164,0.59138864,1.3624108e-06,4.3545768e-07,28.711226,157.91174,373.24594,1055.1376,0.0011598571,658.32245,4.6089554,5088001.5,6.608597,50.268322,-1.2709279e-06,0.51678336,9.725263e-07,19.074064,6.871182,1.2193108,5.1929646,1.5738026,-3.2742321,-3.090655,-12.276607,-12.114158,6.186231,12.656879,-3.8958046,-13.146155,-3.0807183,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.833333333,0 days 00:00:04.800000,0.0,0.0,0.0,0.0,0.0,-100.0,0.044255447,1.0169964,0.00013635925,0.12040817,0.1302368,0.2637652,0.4131581,0.5553718,0.68442494,0.7979448,0.8778464,0.93754834,1.0110816,1.0579534,1.1260663,1.2018695,1.2370936,1.2620039,1.3151356,1.4029703,1.4735874,1.4869038,1.4841776,1.4801518,1.4222733,1.2966356,1.136417,0.95733184,0.7921415,0.6378154,1.8940453e-06,1.0643672e-06,416.31277,2361.4983,3172.59,3990.8604,0.0023544442,2440.2224,5.5894756,8188583.5,4.1267543,31.703875,-1.9922363e-06,1.799153,2.8711875e-06,11.834697,7.0896263,-8.078069,2.64987,-2.6805642,-3.8600051,-3.4296973,-11.991905,-5.064342,8.593917,9.803521,-3.5874214,-9.423261,-2.5584424,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.866666667,0 days 00:00:04.833333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.05709596,1.0139118,0.00016604405,0.14807256,0.13093393,0.2761921,0.42270234,0.56066704,0.67495775,0.7823651,0.8589873,0.9437058,1.0121654,1.0474216,1.102681,1.178377,1.2291374,1.268589,1.3364754,1.4345794,1.481823,1.4894409,1.4878963,1.4762315,1.4275156,1.2882277,1.1221629,0.9291117,0.7722644,0.62709457,2.565157e-06,1.7001271e-06,523.97986,2634.2546,4522.018,6072.4243,0.003211355,3095.6755,6.528689,9642999.0,2.5621936,18.81942,-2.570922e-06,2.2554317,3.6459799e-06,6.7875905,8.558437,-9.755352,-3.2487419,-7.1842866,-2.8663042,0.25042948,-13.51208,-5.109685,13.589722,0.79452896,-3.1976843,-5.0524,-5.4194083,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.900000,0 days 00:00:04.866666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.08285736,0.9945542,0.0003346613,0.14013605,0.13004632,0.2830849,0.4495518,0.58597684,0.6698136,0.7930816,0.8631123,0.9453001,0.99288374,1.0629296,1.1047896,1.1669904,1.2263992,1.3125831,1.3534069,1.3863147,1.4339501,1.4548417,1.450387,1.4357833,1.3453192,1.2006855,1.049542,0.87052727,0.71255726,0.5785489,7.3025534e-05,5.47041e-06,610.1135,2677.3215,4550.729,5900.1562,0.0075026117,3038.5315,6.179523,8102394.5,4.8582067,92.869514,-2.289276e-05,2.2463531,3.4202774e-05,7.480272,5.041521,-13.328811,-8.193908,-15.545757,-5.7059484,-1.8610057,-14.981938,-8.639918,6.6217957,-10.149953,-8.659226,-5.689504,-7.647228,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.933333333,0 days 00:00:04.900000,0.0,0.0,0.0,0.0,0.0,-100.0,0.11478793,0.9778111,0.0005776673,0.07687075,0.1317992,0.28411075,0.4430951,0.569527,0.67398614,0.7642811,0.8561912,0.9547617,0.99084634,1.0633491,1.1363338,1.1736195,1.2629145,1.3421215,1.3473573,1.3485988,1.3691553,1.4236755,1.4315319,1.4077907,1.2848867,1.1384016,0.98092026,0.8283882,0.67138577,0.5440586,0.00011559514,2.6031497e-05,308.64566,681.8916,1923.6522,3079.279,0.0120161325,1308.1177,5.2009254,3590637.2,7.603182,157.0218,-6.522958e-05,1.0419298,8.558803e-05,18.395548,-6.0242844,-8.032577,-9.990189,-15.829963,-6.405567,-3.1719234,-7.077173,-20.303347,-6.519728,-20.222282,-13.797737,-6.6377606,-10.787838,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:04.966666667,0 days 00:00:04.933333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.132087,0.96650934,0.0007191261,0.03469388,0.13085471,0.2770143,0.4116415,0.53181607,0.6862325,0.74470663,0.8254784,0.8980692,0.9781494,1.0337054,1.1118542,1.1493977,1.2199105,1.2756138,1.3089634,1.320983,1.3401312,1.399312,1.4279976,1.3839234,1.30061,1.202373,1.0167493,0.87815994,0.7037681,0.57182676,0.00013142318,3.5104942e-05,272.75665,523.97986,775.20306,1126.9155,0.016168447,652.31915,4.399774,366875.75,9.905175,215.7972,-7.91935e-05,0.62145555,0.00010886454,27.745138,-14.543282,-9.394238,-7.998091,-14.974164,-10.570104,-7.1168303,-0.060433388,-23.694565,-16.62903,-19.11458,-14.216747,-10.075368,-12.710923,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:05,0 days 00:00:04.966666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.12726605,0.967171,0.00069994206,0.029705213,0.1280327,0.26332912,0.39416966,0.5137272,0.66647786,0.7223406,0.82416743,0.86680967,0.9592495,0.9979436,1.0622822,1.1186296,1.1658103,1.1972438,1.2741934,1.3386856,1.3721143,1.3883072,1.4337555,1.3981147,1.3438421,1.2744483,1.1051415,0.94253904,0.7746858,0.62040824,7.6064796e-05,3.3381762e-05,258.40103,502.4464,811.0921,1184.338,0.014410925,643.8526,4.458647,309593.84,11.079915,317.0815,-7.614425e-05,0.6129236,0.000108205044,32.456303,-15.750732,-9.7633505,-3.4447591,-11.058792,-8.623162,-1.3074107,8.0700245,-26.992582,-22.97702,-20.37571,-15.294122,-7.0461617,-12.310031,116_216_42_1_20250116_103705_exam_ground.wav
