end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:34.500000,0 days 00:00:34.466666667,188.92084,0.7784754,0.016193964,0.018774495,0.11572978,-28.886787,0.28985718,0.93412346,0.003863579,0.027210886,0.12976249,0.2704711,0.42189547,0.513688,0.62765795,0.7092209,0.7930171,0.85125583,0.9572913,1.007147,1.0448494,1.1005195,1.1618773,1.2262977,1.2301971,1.2248936,1.2808608,1.3573087,1.3590546,1.3169788,1.2647542,1.1524929,1.06016,0.89680076,0.7195278,0.60922885,0.008389013,0.00041703283,294.29004,366.0681,380.42374,531.15765,0.11874768,464.95547,3.080857,335251.53,8.513839,131.26385,-0.002572409,0.44918922,0.0045376564,21.290636,8.026322,32.416275,-33.609127,-25.188566,-20.88196,-15.577313,-26.797667,-21.434753,18.569925,-24.547966,11.685451,-1.3853927,-2.8917973,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.533333332,0 days 00:00:34.500000,0.0,0.0,0.0,0.0,0.0,-63.15318,0.19008642,0.98922855,0.0023732323,0.06213152,0.12925352,0.2613072,0.4001654,0.5208735,0.64267915,0.78174853,0.8761153,0.913219,0.9982016,1.0570897,1.1126748,1.1904483,1.2432073,1.3103952,1.3793167,1.3715997,1.357725,1.4126831,1.4001741,1.4289737,1.3312203,1.182785,1.0591329,0.9486327,0.77977127,0.6305487,0.0050739204,6.308847e-05,308.64566,380.42374,2210.7644,2555.299,0.07213678,1009.0928,3.8385735,3205179.2,7.830811,126.62626,-0.0015130074,0.8245453,0.0026025886,16.535686,16.769762,17.61423,-19.938921,-23.83594,-13.375453,-14.998848,-23.2165,-22.04471,13.739204,-13.059006,12.039726,1.1632942,-5.583258,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.566666667,0 days 00:00:34.533333332,0.0,0.0,0.0,0.0,0.0,-100.0,0.12681578,1.0248053,0.0010682697,0.0782313,0.13068928,0.26705107,0.42016315,0.54967326,0.6658304,0.8245814,0.8946379,0.951341,1.0103918,1.0849261,1.1498489,1.2326902,1.2987658,1.3699766,1.476933,1.4792055,1.4609118,1.4689955,1.4688916,1.4811703,1.3695408,1.2253686,1.062995,0.9414525,0.7733523,0.5855519,0.0003087112,1.1545344e-05,258.40103,344.5347,2232.2976,2648.6106,0.048710477,1052.0807,4.654997,3517133.2,6.7544894,103.394356,-0.00013845525,0.84094864,0.0002211182,14.987178,18.514395,10.319469,-1.625186,-21.631516,-9.378431,-5.742125,-14.9665985,-16.522957,9.19135,1.4172317,2.2537725,3.7136936,-9.748158,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.600000,0 days 00:00:34.566666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.10587526,1.0093942,0.0007943812,0.07482993,0.13280582,0.28787604,0.44583693,0.5993169,0.69738036,0.8000645,0.8900035,0.968396,0.9840422,1.0530019,1.1321101,1.1835834,1.2407458,1.3065116,1.3596177,1.4290267,1.4935904,1.4810435,1.4916182,1.4587883,1.3857523,1.2696538,1.0585796,0.85913914,0.696539,0.5392236,0.00013305429,7.580115e-06,258.40103,294.29007,2217.9421,2619.8992,0.019610306,1018.88257,4.5334325,3457505.0,15.219869,738.01276,-7.941626e-05,0.81170696,0.00012151959,19.2221,19.790827,4.7310295,2.2224622,-18.23784,-12.557144,1.9444275,-14.160731,-14.914185,1.4320712,2.4620543,-4.946651,4.1363516,-12.699712,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.633333333,0 days 00:00:34.600000,0.0,0.0,0.0,0.0,0.0,-100.0,0.12069082,1.014212,0.0012267558,0.03287982,0.13180746,0.29304543,0.44554245,0.6130883,0.7286496,0.8035643,0.890933,0.96633667,1.003155,1.0656009,1.1554946,1.2170526,1.2436415,1.2827852,1.2980976,1.4201412,1.5181662,1.503716,1.5246391,1.4808732,1.3939894,1.2788609,1.055526,0.815926,0.67254895,0.5663278,0.00041024006,1.488764e-05,186.62297,272.75662,380.42374,516.80206,0.01802927,377.93344,3.7988722,406490.5,20.740747,1050.6531,-0.00022006495,0.37132022,0.00038144886,30.561874,13.1538725,10.1837435,0.052302677,-11.487068,-17.2258,-1.8726219,-11.744011,-8.455701,4.2752585,-8.239013,-8.813774,3.8271563,-10.813511,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.666666667,0 days 00:00:34.633333333,0.0,0.7719409,0.0,0.0,0.0,-100.0,0.12812877,1.0052215,0.0014787413,0.014512472,0.13468044,0.27954376,0.42182016,0.56811327,0.6862083,0.7790439,0.8521967,0.91269326,0.9819536,1.0455198,1.1124319,1.1788,1.23967,1.2868041,1.3241892,1.4112185,1.4671608,1.4906076,1.5061744,1.480485,1.400485,1.2579755,1.070888,0.8840098,0.74114054,0.62194365,0.0005829802,1.4410377e-05,172.26735,251.2232,337.3569,452.2018,0.022583336,288.84073,3.494891,71411.125,25.67399,1402.4987,-0.0003272501,0.30784377,0.00046672882,37.440792,12.243573,13.214066,-1.7793074,-7.5575547,-18.566626,-4.5360894,-3.0242999,-4.992573,8.959342,-17.652025,-7.4461327,4.4494824,-12.498759,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.700000,0 days 00:00:34.666666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.12332314,0.98165417,0.0013808383,0.015873017,0.12045004,0.25076187,0.39392486,0.5247598,0.6458298,0.71901804,0.79073673,0.8689706,0.95905066,1.0299525,1.0743617,1.121741,1.2055417,1.2621914,1.3485441,1.3725191,1.3906722,1.4533291,1.4552027,1.4321092,1.3748316,1.2448907,1.1013108,0.948977,0.79607797,0.6372512,0.0005500599,1.4704231e-05,208.15637,301.46786,351.7125,459.3796,0.02646632,320.60617,3.568962,117572.875,22.048195,1005.3454,-0.00029027715,0.34017015,0.000401151,35.936047,6.4715405,12.673356,0.36876845,-6.8950753,-22.068045,-13.269875,-4.610763,-6.3253937,10.874253,-18.810463,-5.0704513,5.372659,-11.626373,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.733333333,0 days 00:00:34.700000,0.0,0.0,0.0,0.0,0.0,-100.0,0.1792684,1.021434,0.001606572,0.022675738,0.124572955,0.25821123,0.40944389,0.52179074,0.65556145,0.76628166,0.8676694,0.9684966,1.0263387,1.0736185,1.1255974,1.2022032,1.2837313,1.3389984,1.4270172,1.4358417,1.4691502,1.5116458,1.5066438,1.4821658,1.4212513,1.2598385,1.1037873,0.93523127,0.7770116,0.6051808,0.00051414844,0.0002450857,366.0681,430.66837,509.62427,854.15894,0.036905803,514.44147,4.093805,188147.0,17.090815,702.89777,-0.00042052567,0.49922648,0.00045413407,32.41763,-5.3233366,10.1437235,-4.496883,-7.3719463,-21.00749,-5.915069,10.179943,-8.392167,6.362499,-22.989988,-3.3787098,7.1839232,-17.94802,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.766666667,0 days 00:00:34.733333333,0.0,0.64241594,0.0,0.0,0.0,-100.0,0.20556594,1.0065607,0.0013818269,0.030385489,0.1314568,0.27110985,0.41562822,0.5539177,0.6762014,0.7964253,0.90085053,0.9759539,1.0138084,1.0670122,1.1183003,1.1963755,1.2319133,1.2785102,1.3672811,1.4345298,1.4257501,1.4414667,1.4670314,1.4423922,1.380356,1.2647632,1.0953141,0.8951388,0.7411054,0.58798414,0.00046054935,0.00029647068,488.09082,567.0467,653.18036,1327.894,0.04128066,704.3619,4.550956,305040.72,11.123643,343.82346,-0.0003729392,0.65445846,0.00042693724,28.68399,-14.940019,4.3657427,-10.918895,-10.689609,-25.874176,2.3821037,13.023992,-11.608119,11.579658,-22.812881,-3.0243454,7.902612,-11.48035,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:34.800000,0 days 00:00:34.766666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.207403,0.97404915,0.0013109102,0.044217687,0.13315296,0.27854547,0.4189458,0.56241375,0.66344434,0.7702205,0.8543872,0.9165341,0.95984715,1.0300333,1.1005305,1.1776828,1.1888787,1.2214775,1.2986393,1.3834594,1.3828974,1.3846794,1.4128646,1.4019433,1.3189098,1.2242831,1.0544157,0.8927515,0.71065277,0.5836875,0.00042662036,0.00029756987,459.3796,588.5801,796.7365,1787.2738,0.040358115,834.1268,5.359873,654526.0,4.9248796,64.2158,-0.00036282584,0.7425523,0.00040949488,26.26433,-19.468102,2.7968798,-12.092982,-8.397613,-26.017092,14.120408,21.268705,-12.006547,14.307115,-24.779737,-7.2881303,9.886054,-9.016035,116_216_53_1_20250116_104129_trumpet_board.wav
