end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.500000,0 days 00:00:00.466666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03950845,0.97236353,0.00011823707,0.08594105,0.12714879,0.27437243,0.41329542,0.56086624,0.6826076,0.76471823,0.85147935,0.91004896,0.97732276,1.0273486,1.0869719,1.1497169,1.2172793,1.2575871,1.3069837,1.3557497,1.3619846,1.3855057,1.4069986,1.3953773,1.3373922,1.1997837,1.0454415,0.8799546,0.723314,0.58220285,2.8789755e-06,5.402333e-07,114.84491,272.75662,401.95715,1227.4049,0.0014694036,746.6548,5.135925,4555842.5,6.177479,46.81162,-1.714582e-06,0.5921297,1.4965768e-06,16.156973,7.3536553,6.557196,1.8173255,0.79806536,-3.0206134,-9.715587,-11.334129,0.040869076,-6.426851,-2.124395,7.6893954,-4.6734767,6.8049245,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.533333332,0 days 00:00:00.500000,0.0,0.0,0.0,0.0,0.0,-100.0,0.037933584,0.9782235,0.00011187192,0.086394556,0.12643248,0.27283284,0.42317665,0.54983884,0.6557576,0.74743444,0.83162624,0.91610163,0.98752475,1.0514989,1.1003939,1.1470914,1.2157189,1.2412323,1.2984891,1.3569232,1.4163524,1.4289112,1.4321338,1.4222999,1.3477794,1.2096666,1.0511465,0.8977217,0.7234934,0.5822301,2.1398503e-06,5.210934e-07,93.311485,265.57883,445.02402,1220.227,0.0014220757,767.90326,5.121796,4994673.5,6.125501,45.06748,-1.4883877e-06,0.60680956,1.18376e-06,16.722532,6.1236553,4.2249484,1.0100613,2.4526563,-3.8786337,-9.740218,-11.697591,0.65387183,-5.0140853,-6.1993346,3.0826352,-6.582213,-0.09289583,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.566666667,0 days 00:00:00.533333332,0.0,0.0,0.0,0.0,0.0,-100.0,0.03632482,0.9919302,0.00011003376,0.09863946,0.13217197,0.2666307,0.41588727,0.54319406,0.6611266,0.7568102,0.84617203,0.9187472,0.99090314,1.0573285,1.1189272,1.1469425,1.2279531,1.2769789,1.3362284,1.3703507,1.4298805,1.4819566,1.4648498,1.439356,1.3689631,1.2320315,1.0697755,0.9092377,0.73407143,0.59370846,1.6864368e-06,5.150533e-07,57.42245,208.15637,416.31274,1177.1602,0.0013814503,735.1933,4.944298,4979466.5,6.1552715,45.358868,-1.3993921e-06,0.57670313,9.4342704e-07,16.475561,5.053243,2.9842415,3.147803,5.552675,-2.0832818,-7.677898,-12.088714,-1.7442904,-5.820297,-4.362092,3.8472188,-1.1678809,0.6041031,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.600000,0 days 00:00:00.566666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03624232,0.99218446,0.00011465096,0.09501133,0.13389425,0.26300833,0.41639063,0.5608897,0.6829005,0.7824567,0.851484,0.91077393,0.98061556,1.0383269,1.0977392,1.1529549,1.2046674,1.2797098,1.345703,1.3765526,1.4096432,1.4730748,1.4784794,1.4405133,1.3590952,1.2446812,1.0737692,0.8938403,0.74426967,0.60136056,1.4354137e-06,5.027711e-07,21.533419,150.73393,445.02396,1234.5826,0.0013231653,768.3222,4.8659916,5485902.0,5.69795,38.7458,-1.3898392e-06,0.59501785,8.9161944e-07,16.09324,4.945883,0.99220514,0.61360025,3.5713584,-2.9508555,-7.202793,-7.8635955,0.64973176,2.5646555,1.8245579,5.6782966,-1.7636728,-0.23078425,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.633333333,0 days 00:00:00.600000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03555708,0.9885356,0.00011380867,0.09501133,0.13106793,0.27312055,0.42200446,0.56223685,0.6786754,0.7729524,0.8440733,0.92114955,0.9877389,1.0351096,1.0883785,1.1666499,1.200337,1.2763284,1.3486878,1.3681912,1.4148,1.448284,1.4603313,1.4165363,1.3576885,1.239428,1.0700729,0.886316,0.73968285,0.59208167,1.4760108e-06,4.5832408e-07,21.533419,122.022705,409.13498,1162.8046,0.0012942172,739.01953,4.7914953,5436466.0,5.768873,39.60955,-1.4289375e-06,0.57272714,9.1819646e-07,16.49814,5.1897664,0.5797397,2.778209,4.141375,-2.564132,-2.409317,-7.6414247,-4.6623454,3.8574219,7.3246036,10.27094,4.8080344,4.913962,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.666666667,0 days 00:00:00.633333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.035030227,0.98459584,0.00011451399,0.08412698,0.12786414,0.28174934,0.4374481,0.55862427,0.6528389,0.75121,0.8434572,0.9324791,0.98140115,1.0304617,1.0869006,1.1632141,1.2046674,1.2618234,1.3229733,1.3613876,1.4200535,1.442347,1.4616538,1.4278263,1.3456262,1.225758,1.0643562,0.89018345,0.73296744,0.59021914,1.6548032e-06,3.8203189e-07,43.066837,150.73393,373.24594,1026.4263,0.0012287252,710.9941,4.830029,5343987.5,6.013475,42.466797,-1.5094984e-06,0.55665016,1.0063413e-06,17.260874,7.5515137,1.4433646,1.9947835,3.9009187,0.32603168,-0.7185092,-5.7948003,-10.29741,-0.029053053,3.2970388,4.2945094,1.8088385,5.501497,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.700000,0 days 00:00:00.666666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035190247,0.9910674,0.000109689245,0.09070295,0.12660007,0.27757937,0.42707443,0.5497776,0.6527231,0.76399034,0.8530523,0.90583116,0.97512627,1.0524579,1.1143771,1.1597003,1.2209946,1.2666624,1.3195978,1.3719597,1.4478594,1.479096,1.4670162,1.4420052,1.3575926,1.2383237,1.0737957,0.9033756,0.72937226,0.59181035,1.5600116e-06,4.2569084e-07,57.42245,208.15637,344.5347,1098.2043,0.0012340156,738.43524,4.995071,5423174.5,6.028065,42.881607,-1.4106672e-06,0.5748072,9.043097e-07,16.529964,7.319425,4.043243,3.7489936,7.079532,4.658878,2.1839786,-11.852124,-14.6080885,-4.8536444,0.61201286,1.7050308,-0.32021213,4.36802,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.733333333,0 days 00:00:00.700000,0.0,0.0,0.0,0.0,0.0,-100.0,0.034585003,0.9879773,0.000110816036,0.09160998,0.1301606,0.27243438,0.40599322,0.5512395,0.68401814,0.7616672,0.85518974,0.90372425,0.96432346,1.0475146,1.1171883,1.1553127,1.2390352,1.2819487,1.3102751,1.3751787,1.4200473,1.4415203,1.4589788,1.4369316,1.3472153,1.2303025,1.079535,0.89678496,0.7282445,0.59264684,1.4196658e-06,3.7675878e-07,57.42245,208.15639,330.17908,1026.4263,0.0012583282,699.0098,4.9518175,5199560.0,6.2111983,45.40639,-1.443837e-06,0.54417515,9.848749e-07,16.700006,8.846774,5.579451,4.1844683,8.417648,5.135373,2.2947147,-9.247706,-12.081173,-5.534754,0.10999298,-1.8241335,-4.4039016,5.286478,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.766666667,0 days 00:00:00.733333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.034858197,0.98616105,0.00011657283,0.09455782,0.12795712,0.263294,0.41350245,0.5616788,0.704302,0.78978705,0.84347194,0.9110909,0.96375495,1.0462195,1.1086918,1.1617671,1.2255648,1.2676588,1.3109593,1.3714352,1.4085792,1.4236358,1.4450188,1.431069,1.3650886,1.2219933,1.0613145,0.88380736,0.7346105,0.5939343,2.273455e-06,3.9561735e-07,35.88903,229.6898,358.8903,904.40356,0.0013357392,656.4189,4.738859,4665314.5,6.6833997,53.417145,-1.629866e-06,0.5181327,1.095555e-06,16.745687,8.433343,5.778902,2.554089,6.151859,-0.80807525,-4.9540825,-15.301097,-12.498661,0.78488016,3.4981022,0.025423607,-1.8018786,3.8504508,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.800000,0 days 00:00:00.766666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035973903,0.99230164,0.00011815296,0.084807254,0.12849702,0.2707273,0.41697478,0.5539904,0.67453164,0.7732356,0.851181,0.9394106,1.0035304,1.0514239,1.09876,1.1602839,1.2206274,1.2846966,1.3327433,1.3860523,1.4273156,1.4475394,1.450046,1.4283533,1.3744389,1.2339903,1.059939,0.89595795,0.73911643,0.5964765,2.1664123e-06,4.227404e-07,21.533419,208.15639,430.66837,875.6924,0.0014392813,636.458,4.720932,4330443.5,6.7919464,55.055664,-1.7060337e-06,0.50527936,1.2719888e-06,17.062529,8.293182,4.438555,0.34799385,4.315073,-0.61139697,-3.2635243,-11.086671,-12.765835,2.0398386,2.2523756,-0.39100933,-1.5050421,1.7476149,116_216_15_1_20250116_102602_siren_board.wav
