start_time,end_time,label,labelid,duration,model
5.0,7.1,Gesture,1,2.0999999999999996,CNN
7.666666666666667,25.966666666666665,Gesture,3,18.299999999999997,CNN
31.966666666666665,44.0,Gesture,4,12.033333333333335,CNN
54.166666666666664,54.86666666666667,Gesture,5,0.7000000000000028,CNN
56.03333333333333,59.3,Gesture,6,3.2666666666666657,CNN
59.833333333333336,69.93333333333334,Gesture,10,10.100000000000001,CNN
4.966666666666667,6.766666666666667,Gesture,1,1.7999999999999998,LightGBM
7.366666666666666,8.5,Gesture,2,1.1333333333333337,LightGBM
9.566666666666666,13.733333333333333,Gesture,3,4.166666666666666,LightGBM
14.366666666666667,26.033333333333335,Gesture,5,11.666666666666668,LightGBM
28.933333333333334,29.733333333333334,Gesture,10,0.8000000000000007,LightGBM
31.6,38.86666666666667,Gesture,12,7.266666666666666,LightGBM
40.233333333333334,44.166666666666664,Gesture,16,3.93333333333333,LightGBM
52.96666666666667,53.43333333333333,Gesture,19,0.46666666666666146,LightGBM
54.0,56.3,Gesture,20,2.299999999999997,LightGBM
56.93333333333333,60.13333333333333,Gesture,21,3.200000000000003,LightGBM
61.166666666666664,61.96666666666667,Gesture,27,0.8000000000000043,LightGBM
63.13333333333333,63.233333333333334,Gesture,28,0.10000000000000142,LightGBM
67.4,67.56666666666666,Gesture,29,0.1666666666666572,LightGBM
