start_time,end_time,label,labelid,duration,model
2.1,10.7,Gesture,1,8.6,CNN
28.866666666666667,30.533333333333335,Move,3,1.6666666666666679,CNN
38.8,38.93333333333333,Gesture,4,0.13333333333333286,CNN
40.56666666666667,41.9,Move,5,1.3333333333333286,CNN
42.93333333333333,44.96666666666667,Move,7,2.0333333333333385,CNN
46.266666666666666,56.0,Gesture,8,9.733333333333334,CNN
59.86666666666667,62.2,Gesture,9,2.3333333333333357,CNN
63.36666666666667,69.96666666666667,Gesture,10,6.600000000000001,CNN
2.1,5.666666666666667,Gesture,1,3.566666666666667,LightGBM
9.833333333333334,10.133333333333333,Gesture,6,0.29999999999999893,LightGBM
47.233333333333334,47.46666666666667,Gesture,7,0.23333333333333428,LightGBM
50.63333333333333,55.43333333333333,Gesture,8,4.799999999999997,LightGBM
59.86666666666667,69.96666666666667,Gesture,9,10.100000000000001,LightGBM
