start_time,end_time,label,labelid,duration,model
1.2,7.3,Gesture,1,6.1,CNN
8.066666666666666,11.433333333333334,Gesture,2,3.366666666666667,CNN
12.0,23.766666666666666,Gesture,3,11.766666666666666,CNN
24.6,34.8,Gesture,6,10.199999999999996,CNN
35.5,36.266666666666666,Gesture,12,0.7666666666666657,CNN
38.63333333333333,45.766666666666666,Gesture,13,7.133333333333333,CNN
2.066666666666667,2.3,Gesture,1,0.23333333333333295,LightGBM
2.8666666666666667,7.133333333333334,Gesture,2,4.2666666666666675,LightGBM
7.833333333333333,11.3,Gesture,8,3.4666666666666677,LightGBM
12.2,13.133333333333333,Gesture,13,0.9333333333333336,LightGBM
14.333333333333334,17.1,Gesture,15,2.7666666666666675,LightGBM
18.866666666666667,21.933333333333334,Gesture,16,3.0666666666666664,LightGBM
22.866666666666667,23.133333333333333,Gesture,20,0.2666666666666657,LightGBM
24.133333333333333,24.533333333333335,Gesture,21,0.40000000000000213,LightGBM
25.4,26.4,Gesture,22,1.0,LightGBM
26.966666666666665,33.5,Gesture,23,6.533333333333335,LightGBM
34.63333333333333,36.06666666666667,Gesture,30,1.4333333333333371,LightGBM
38.63333333333333,45.4,Gesture,33,6.766666666666666,LightGBM
