time,audio,envelope,filename,envelope_norm,envelope_change
0.0,0.0,3.391783752920894e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011349997351133682,-1.8316150360342855e-05
2.0,0.0002258300781249,3.62315289920248e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011423512490318026,2.5851697433234083e-05
4.0,-0.0003265380859375,3.844195457774065e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011493746463690072,6.906574870771475e-05
6.0,4.8828125e-05,4.051070863188744e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011559478971534348,0.00011046785994637316
8.0,-0.00013427734375,4.240804189513767e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011619764762085335,0.00014943888464241786
10.0,-0.000152587890625,4.41056039982451e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011673703031854516,0.0001855896658988491
12.0,-4.882812499999809e-05,4.558151260327567e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011720598492319302,0.00021873001422011815
14.0,-0.0003448486328125,4.6822015501594135e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011760014181357404,0.00024883500833101544
16.0,-0.0002319335937499,4.781775050018938e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011791652625025845,0.000276009375733061
18.0,0.0004272460937499,4.856307912107532e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011815334666552602,0.0003004507262146879
20.0,0.0001678466796875,4.9058911377028624e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.01183108922064692,0.0003224122964222207
22.0,-0.000384521484375,4.931520739879447e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011839232760101214,0.0003421658129937485
24.0,0.000274658203125,4.93465922637095e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011840229981532679,0.00035996519442890723
26.0,0.000103759765625,4.916991350771422e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011834616197868499,0.0003760146195832241
28.0,-0.0001800537109375,4.880487348982266e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011823017431069015,0.00039045003669262683
30.0,0.000152587890625,4.827408502982226e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011806152179957754,0.00040334022891655436
32.0,-0.0001129150390624,4.76014529544626e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011784779995535316,0.0004147011363142349
34.0,-0.0001800537109375,4.681105817623919e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011759666023743693,0.00042451282085724046
36.0,0.0001251220703125,4.592432922342901e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.01173149113377574,0.0004327344020735034
38.0,-9.46044921875e-05,4.496036149293258e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011700862062002094,0.00043931650455358335
40.0,-6.103515625e-05,4.393787792224183e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011668373710283168,0.0004442114110636325
42.0,-0.0001129150390625,4.28753853865616e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.01163461411532499,0.00044738113713009466
44.0,-8.85009765625e-05,4.179000803151092e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011600127379039517,0.0004488035670417648
46.0,-0.0002716064453124,4.0697304966485096e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011565407875940875,0.0004484767557139197
48.0,-6.103515625e-05,3.961111525629435e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011530895327915958,0.00044642153861427835
50.0,-0.0001373291015625,3.854347697967213e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011496972232392712,0.00044268263649882745
52.0,-0.0001861572265624,3.750400098685279e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011463943964138702,0.0004373284657635149
54.0,0.00010986328125,3.650159448327776e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011432093540340221,0.00043044987560347374
56.0,3.96728515625e-05,3.554383205839642e-05,116_216_39_1_20250116_103539_birthday_ground.wav,0.011401661635696812,0.00042215801147014586
