time,audio,envelope,filename,envelope_norm,envelope_change
0.0,0.0,3.652840100653162e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.026334169207475725,-0.00010447211055476845
2.0,-0.0002807617187499,4.037164254353838e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.026626720609980458,1.854309248043927e-05
4.0,-6.103515625e-06,4.426417616643153e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.026923024175527662,0.00013680225979717826
6.0,-6.103515625000005e-06,4.8165601196386847e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027220004563903,0.0002483095061831916
8.0,3.051757812498085e-06,5.203702360382645e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027514701122544696,0.00035149146589357854
10.0,-0.0002288818359375,5.584175291820272e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02780432093601563,0.0004452001441172777
12.0,0.0001037597656249,5.954471635345726e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028086194228645365,0.000528683562657489
14.0,-2.441406250000024e-05,6.310765509724062e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028357408701244993,0.0006015540722388214
16.0,6.103515624995696e-06,6.648858459374465e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028614768447294735,0.0006637545517851354
18.0,0.0003021240234375,6.964559542479587e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028855083279826957,0.0007155223981238447
20.0,-0.00054931640625,7.254044842027275e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02907544239483886,0.0007573510937741698
22.0,0.00020751953125,7.513701740200256e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02927309583139517,0.0007899492915124653
24.0,-0.0005737304687499,7.740460491015096e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02944570686804828,0.0008141975515536669
26.0,0.0002410888671875,7.932579354089882e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029591949674541047,0.0008311030481804119
28.0,-0.0001953124999999,8.089972914346324e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029711759232058727,0.0008417529267684924
30.0,-0.0003662109375,8.213079425416737e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029805469143664137,0.0008472674354690902
32.0,-0.000408935546875,8.302961402195867e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029873888206357526,0.0008487540150664272
34.0,0.0002258300781249,8.360796105024885e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029917912562524462,0.0008472631457241329
36.0,-7.629394531252869e-05,8.388060108673626e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029938666195697218,0.0008437463252076021
38.0,-4.57763671875e-05,8.386851244970099e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029937745996515098,0.0008390165429409321
40.0,-0.00030517578125,8.359192578699976e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029916691942194495,0.0008337159535210714
42.0,-0.000115966796875,8.307131210834048e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029877062306537104,0.0008283028451519309
44.0,-0.0001373291015625,8.232729655988314e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029820427096366044,0.0008230641805054467
46.0,-0.0001373291015624,8.13808076074835e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02974837940750405,0.0008181432210367278
48.0,-4.882812500000287e-05,8.025370282616365e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02966258306049597,0.0008135688007785302
50.0,-0.00030517578125,7.896812260320482e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029564723403839605,0.000809281886135486
52.0,-6.10351562500287e-06,7.754744954938979e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02945658034533229,0.0008051593381451246
54.0,-7.32421875e-05,7.601322737488604e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029339793813811167,0.0008010348197234816
56.0,-0.00018310546875,7.438707250382366e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02921600927317318,0.0007967168586676717
58.0,2.1362304687502865e-05,7.269226170817674e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.029086998574659333,0.0007920041358560959
60.0,3.0517578125e-05,7.095139487356514e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028954482044242082,0.0007866980424769281
62.0,7.934570312499426e-05,6.91844318000559e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02881997904193227,0.0007806125311561963
64.0,-0.0002960205078125,6.740663069476746e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028684651037767413,0.0007735814083152672
66.0,-9.460449218749615e-05,6.562858824169474e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028549304661967024,0.0007654634296187145
68.0,-0.0001037597656249,6.386184318983046e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028414818255683608,0.0007561456872417475
70.0,-0.000152587890625,6.211805267028834e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028282079171435513,0.0007455456806032148
72.0,-3.356933593750765e-05,6.040475019634443e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.028151660867813233,0.0007336122658232749
74.0,-0.0003021240234375,5.8727343811076257e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02802397501048281,0.0007203256517657179
76.0,-0.000103759765625,5.70902332989446e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027899356515452604,0.0007056967127178626
78.0,-1.52587890625e-05,5.5498643603400754e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027778203110661374,0.0006897658760743824
80.0,-1.52587890625e-05,5.396044209533247e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027661113668276047,0.0006726016821779545
82.0,-9.1552734375e-05,5.248396315377117e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02754872260959206,0.0006542989293634501
84.0,-3.35693359375e-05,5.107621603450238e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027441563486193622,0.0006349762408444259
86.0,-0.000189208984375,4.974223297854581e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027340019357317048,0.0006147729757777171
88.0,3.662109375e-05,4.848474868415916e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02724429839093797,0.00059384556205545
90.0,0.0,4.730444562859355e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.027154452537909626,0.0005723634352090765
92.0,3.051757812498087e-06,4.620019064855909e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02707039554070525,0.0005505048035719809
94.0,-0.0002655029296874,4.5171736551022205e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.026992108582743066,0.0005284524316509322
96.0,7.62939453125e-05,4.421873493481775e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.026919565143376768,0.0005063895382371998
98.0,-6.103515625e-05,4.333972120894525e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.026852653736469674,0.0004844958071982286
100.0,4.57763671875e-05,4.253148146620301e-05,116_216_31_1_20250116_103035_chlorine_ground.wav,0.02679112971618042,0.00046294350541852447
