time,CoG,filename
30.006273229228103,1122.7725379589986,116_216_36_1_20250116_103426_jungle_ground.wav
32.12198416753219,1106.5227177377865,116_216_36_1_20250116_103426_jungle_ground.wav
34.23769510583627,1129.891541000714,116_216_36_1_20250116_103426_jungle_ground.wav
36.353406044140364,1190.1874511274111,116_216_36_1_20250116_103426_jungle_ground.wav
38.46911698244444,1266.6046002898709,116_216_36_1_20250116_103426_jungle_ground.wav
40.58482792074854,1308.8390785312026,116_216_36_1_20250116_103426_jungle_ground.wav
42.700538859052614,1292.8731479671114,116_216_36_1_20250116_103426_jungle_ground.wav
44.816249797356704,1250.5363810480703,116_216_36_1_20250116_103426_jungle_ground.wav
46.93196073566079,1238.1608831079366,116_216_36_1_20250116_103426_jungle_ground.wav
49.04767167396488,1258.983933566067,116_216_36_1_20250116_103426_jungle_ground.wav
51.16338261226897,1304.4968537892812,116_216_36_1_20250116_103426_jungle_ground.wav
53.279093550573045,1366.8356647633211,116_216_36_1_20250116_103426_jungle_ground.wav
55.39480448887714,1423.6188012844304,116_216_36_1_20250116_103426_jungle_ground.wav
57.51051542718122,1453.3908967736388,116_216_36_1_20250116_103426_jungle_ground.wav
59.62622636548531,1448.7316496976719,116_216_36_1_20250116_103426_jungle_ground.wav
61.74193730378939,1387.371323629528,116_216_36_1_20250116_103426_jungle_ground.wav
63.857648242093475,1343.4517371650418,116_216_36_1_20250116_103426_jungle_ground.wav
65.97335918039757,1340.5611575824114,116_216_36_1_20250116_103426_jungle_ground.wav
68.08907011870166,1370.039477840154,116_216_36_1_20250116_103426_jungle_ground.wav
70.20478105700575,1346.9498226917833,116_216_36_1_20250116_103426_jungle_ground.wav
72.32049199530982,1265.4729333719024,116_216_36_1_20250116_103426_jungle_ground.wav
74.43620293361391,1181.8633163668326,116_216_36_1_20250116_103426_jungle_ground.wav
76.55191387191799,1120.9836824948613,116_216_36_1_20250116_103426_jungle_ground.wav
78.66762481022208,1096.4146754857584,116_216_36_1_20250116_103426_jungle_ground.wav
80.78333574852617,1097.9368777686848,116_216_36_1_20250116_103426_jungle_ground.wav
82.89904668683026,1096.6419184909182,116_216_36_1_20250116_103426_jungle_ground.wav
