time,CoG,filename
30.06455902979099,2017.5803453317772,116_216_50_1_20250116_103951_spinach_board.wav
32.180269968095075,2017.6554072469794,116_216_50_1_20250116_103951_spinach_board.wav
34.29598090639916,2013.960996380201,116_216_50_1_20250116_103951_spinach_board.wav
36.41169184470325,1985.8104176240497,116_216_50_1_20250116_103951_spinach_board.wav
38.527402783007325,1963.412217161499,116_216_50_1_20250116_103951_spinach_board.wav
40.64311372131142,1952.3819960036303,116_216_50_1_20250116_103951_spinach_board.wav
42.7588246596155,1927.1568323109673,116_216_50_1_20250116_103951_spinach_board.wav
44.87453559791959,1864.8955670117032,116_216_50_1_20250116_103951_spinach_board.wav
46.99024653622367,1794.610787473553,116_216_50_1_20250116_103951_spinach_board.wav
49.10595747452776,1721.3369885325185,116_216_50_1_20250116_103951_spinach_board.wav
51.22166841283185,1657.5384010363275,116_216_50_1_20250116_103951_spinach_board.wav
53.33737935113593,1605.8678327374507,116_216_50_1_20250116_103951_spinach_board.wav
55.45309028944003,1572.565381395799,116_216_50_1_20250116_103951_spinach_board.wav
57.5688012277441,1573.2828753002384,116_216_50_1_20250116_103951_spinach_board.wav
59.684512166048194,1595.1021526194675,116_216_50_1_20250116_103951_spinach_board.wav
61.80022310435228,1620.009331404389,116_216_50_1_20250116_103951_spinach_board.wav
63.91593404265636,1637.8946228671346,116_216_50_1_20250116_103951_spinach_board.wav
66.03164498096045,1647.2619743716623,116_216_50_1_20250116_103951_spinach_board.wav
68.14735591926454,1645.6183019636096,116_216_50_1_20250116_103951_spinach_board.wav
70.26306685756863,1600.9920150196238,116_216_50_1_20250116_103951_spinach_board.wav
72.37877779587271,1536.8678181010096,116_216_50_1_20250116_103951_spinach_board.wav
74.4944887341768,1524.5828386787032,116_216_50_1_20250116_103951_spinach_board.wav
76.61019967248087,1533.9174520431322,116_216_50_1_20250116_103951_spinach_board.wav
78.72591061078496,1530.7797974424216,116_216_50_1_20250116_103951_spinach_board.wav
80.84162154908906,1518.268746300503,116_216_50_1_20250116_103951_spinach_board.wav
82.95733248739315,1494.8631873309184,116_216_50_1_20250116_103951_spinach_board.wav
85.07304342569722,1422.086595232056,116_216_50_1_20250116_103951_spinach_board.wav
87.18875436400131,1325.382888975297,116_216_50_1_20250116_103951_spinach_board.wav
89.3044653023054,1240.5028980037591,116_216_50_1_20250116_103951_spinach_board.wav
91.42017624060948,1197.25896175819,116_216_50_1_20250116_103951_spinach_board.wav
93.53588717891357,1193.553751739814,116_216_50_1_20250116_103951_spinach_board.wav
95.65159811721766,1208.2321939282658,116_216_50_1_20250116_103951_spinach_board.wav
97.76730905552175,1236.061197631297,116_216_50_1_20250116_103951_spinach_board.wav
99.88301999382581,1261.9709395972018,116_216_50_1_20250116_103951_spinach_board.wav
101.99873093212992,1286.5826140356091,116_216_50_1_20250116_103951_spinach_board.wav
104.114441870434,1303.3813624199,116_216_50_1_20250116_103951_spinach_board.wav
106.2301528087381,1298.8677308109827,116_216_50_1_20250116_103951_spinach_board.wav
108.34586374704216,1286.459039838719,116_216_50_1_20250116_103951_spinach_board.wav
110.46157468534626,1291.1969017664492,116_216_50_1_20250116_103951_spinach_board.wav
112.57728562365035,1301.7918914300685,116_216_50_1_20250116_103951_spinach_board.wav
114.69299656195444,1309.240388929655,116_216_50_1_20250116_103951_spinach_board.wav
116.8087075002585,1302.4037367774426,116_216_50_1_20250116_103951_spinach_board.wav
118.92441843856261,1288.4886650927042,116_216_50_1_20250116_103951_spinach_board.wav
121.0401293768667,1260.975415462338,116_216_50_1_20250116_103951_spinach_board.wav
123.15584031517076,1243.0765797283796,116_216_50_1_20250116_103951_spinach_board.wav
125.27155125347485,1228.018619326304,116_216_50_1_20250116_103951_spinach_board.wav
127.38726219177896,1209.5097681108095,116_216_50_1_20250116_103951_spinach_board.wav
129.50297313008303,1200.3920160598962,116_216_50_1_20250116_103951_spinach_board.wav
131.61868406838713,1164.419637707709,116_216_50_1_20250116_103951_spinach_board.wav
133.73439500669122,1131.1484551878375,116_216_50_1_20250116_103951_spinach_board.wav
135.8501059449953,1099.1589999585494,116_216_50_1_20250116_103951_spinach_board.wav
137.96581688329937,1050.559666734397,116_216_50_1_20250116_103951_spinach_board.wav
140.08152782160346,972.4158481778842,116_216_50_1_20250116_103951_spinach_board.wav
142.19723875990755,927.5464865000994,116_216_50_1_20250116_103951_spinach_board.wav
144.31294969821164,940.8380024868476,116_216_50_1_20250116_103951_spinach_board.wav
146.42866063651573,985.9914581281877,116_216_50_1_20250116_103951_spinach_board.wav
148.54437157481982,996.7581721856421,116_216_50_1_20250116_103951_spinach_board.wav
150.6600825131239,1030.2529907024123,116_216_50_1_20250116_103951_spinach_board.wav
152.77579345142797,1056.2811179077287,116_216_50_1_20250116_103951_spinach_board.wav
154.89150438973206,1045.891445038595,116_216_50_1_20250116_103951_spinach_board.wav
157.00721532803615,1054.3574183260052,116_216_50_1_20250116_103951_spinach_board.wav
159.12292626634024,1086.4699195305825,116_216_50_1_20250116_103951_spinach_board.wav
161.23863720464433,1113.0194954869057,116_216_50_1_20250116_103951_spinach_board.wav
163.35434814294842,1129.0533243816417,116_216_50_1_20250116_103951_spinach_board.wav
165.47005908125251,1114.0902451388604,116_216_50_1_20250116_103951_spinach_board.wav
167.5857700195566,1084.574667123334,116_216_50_1_20250116_103951_spinach_board.wav
169.70148095786067,1058.3730902563163,116_216_50_1_20250116_103951_spinach_board.wav
171.81719189616476,1032.62793227986,116_216_50_1_20250116_103951_spinach_board.wav
173.93290283446885,1028.2451457170125,116_216_50_1_20250116_103951_spinach_board.wav
176.04861377277294,1025.7385660896396,116_216_50_1_20250116_103951_spinach_board.wav
178.16432471107703,1056.382678835094,116_216_50_1_20250116_103951_spinach_board.wav
180.28003564938112,1127.32329635149,116_216_50_1_20250116_103951_spinach_board.wav
182.3957465876852,1203.047866944547,116_216_50_1_20250116_103951_spinach_board.wav
184.51145752598927,1275.9431391666415,116_216_50_1_20250116_103951_spinach_board.wav
186.62716846429336,1354.2253686508002,116_216_50_1_20250116_103951_spinach_board.wav
188.74287940259745,1410.6763558226944,116_216_50_1_20250116_103951_spinach_board.wav
190.85859034090154,1434.8821369861364,116_216_50_1_20250116_103951_spinach_board.wav
192.9743012792056,1354.4524068111161,116_216_50_1_20250116_103951_spinach_board.wav
195.09001221750972,1272.341398900595,116_216_50_1_20250116_103951_spinach_board.wav
197.2057231558138,1214.2218404520331,116_216_50_1_20250116_103951_spinach_board.wav
199.3214340941179,1209.9370856636158,116_216_50_1_20250116_103951_spinach_board.wav
201.43714503242197,1186.1558024951653,116_216_50_1_20250116_103951_spinach_board.wav
203.55285597072606,1117.219789597674,116_216_50_1_20250116_103951_spinach_board.wav
205.66856690903015,1022.9882014995052,116_216_50_1_20250116_103951_spinach_board.wav
207.7842778473342,931.0707203216194,116_216_50_1_20250116_103951_spinach_board.wav
209.8999887856383,864.9056473058439,116_216_50_1_20250116_103951_spinach_board.wav
212.01569972394242,844.4607798645426,116_216_50_1_20250116_103951_spinach_board.wav
214.1314106622465,862.4219606333064,116_216_50_1_20250116_103951_spinach_board.wav
216.24712160055057,909.3620916160878,116_216_50_1_20250116_103951_spinach_board.wav
218.36283253885466,989.6292710317855,116_216_50_1_20250116_103951_spinach_board.wav
220.47854347715875,1078.784445344255,116_216_50_1_20250116_103951_spinach_board.wav
222.5942544154628,1174.8263378156607,116_216_50_1_20250116_103951_spinach_board.wav
224.7099653537669,1222.2244294906657,116_216_50_1_20250116_103951_spinach_board.wav
226.82567629207102,1201.4117824842165,116_216_50_1_20250116_103951_spinach_board.wav
228.9413872303751,1187.1572644012522,116_216_50_1_20250116_103951_spinach_board.wav
231.05709816867918,1181.47322590726,116_216_50_1_20250116_103951_spinach_board.wav
233.17280910698327,1192.8149319294112,116_216_50_1_20250116_103951_spinach_board.wav
235.28852004528736,1166.2994754849683,116_216_50_1_20250116_103951_spinach_board.wav
