"Event_ID","Participant_ID","Exchange_Count","Turn_Count","Text_Prep","Text_Clean","emo_valence_b24","lex_freqlg10","sem_diversity","id","file","context","participants","laughter","short_pauses","medium_pauses","long_pauses","elongating","start_time","end_time","turn"
"Cuz","ALIN",3,6,"watching","watch",5.06,4.2261,1.887105,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"tv","tv",5.15,3.716,1.520722,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"and",NA,NA,NA,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"david","david",5.1,3.7158,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"horowitz","horowitz",5,NA,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"is",NA,NA,NA,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"going","go",5.03,5.2866,2.069098,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"to",NA,NA,NA,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"have","have",5,5.4973,2.352656,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"this",NA,NA,NA,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"former","former",5,2.9699,2.082677,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"car","car",5.27,4.3916,1.687711752,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"radio","radio",5.7,3.5952,1.667388,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"thief","thief",1.23,3.0931,1.57193,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","ALIN",3,6,"on",NA,NA,NA,NA,8,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"6210","6710",1
"Cuz","LENO",4,7,"it",NA,NA,NA,NA,10,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"12980","14350",1
"Cuz","LENO",4,7,"is",NA,NA,NA,NA,10,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"12980","14350",1
"Cuz","LENO",4,7,"her",NA,NA,NA,NA,10,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"12980","14350",1
"Cuz","LENO",4,7,"boyfriend","boyfriend",7.05,3.5664,1.40537006,10,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"12980","14350",1
"Cuz","ALIN",4,8,"yeah","yes",6.97,5.0079,1.592797,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"her",NA,NA,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"ex","ex",4.95,2.8069,1.899802,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
